PRIMER TRIMESTRE 2019,,,,,,,,,,,,,,
MES,Ingreso Monedero,,Ingreso Estudiantes,,,Ingreso Jubilados - Pensionados - 3a Edad,,,Ingreso Discapacitados,,,Totales de Ingresos,,
,Pasajeros,Monto Real,Pasajeros,Monto Real,Monto con Descuento,Pasajeros,Monto Real,Monto con Descuento,Pasajeros,Monto Real,Monto con Descuento,Pasajeros,Monto Real,Monto con Descuento
ENERO,7236972.00,2532940.20,0.00,0.00,0.00,112941.00,39529.35,27105.84,632.00,221.20,151.68,7350545.00,2572690.75,2560197.72
FEBRERO,6610727.00,2313754.45,0.00,0.00,0.00,144393.00,50537.55,34654.32,1269.00,444.15,304.56,6756389.00,2364736.15,2348713.33
MARZO,6913042.00,2419564.70,52571.00,18399.85,8937.07,158465.00,55462.75,38031.60,1507.00,527.45,361.68,7125585.00,2493954.75,2466895.05
INGRESO TOTAL,20760741.00,7266259.35,52571.00,18399.85,8937.07,415799.00,145529.65,99791.76,3408.00,1192.80,817.92,21232519.00,7431381.65,7375806.10
SEGUNDO TRIMESTRE  2019,,,,,,,,,,,,,,
MES,Ingreso Monedero,,Ingreso Estudiantes,,Ingreso Jubilados - Pensionados - 3a Edad,,Ingreso Discapacitados,,Totales de Ingresos,,,,,
,Pasajeros,Monto Real,Pasajeros,Monto Real,Pasajeros,Monto Real,Pasajeros,Monto Real,Pasajeros,Monto Real,Monto con Descuento,,,
ABRIL,7599795.00,2659928.25,99468.00,34813.80,173206.00,60622.10,1740.00,609.00,7874209.00,2755973.15,2718824.85,,,
MAYO,11572739.00,4371132.40,153605.00,34560.93,266640.00,76086.05,3397.00,964.57,11996381.00,4549352.85,4482743.95,,,
JUNIO,11894560.00,4738715.00,124541.00,49341.70,322853.00,126562.45,5641.00,2275.55,12347595.00,4916894.70,4735213.69,,,
INGRESO TOTAL,31067094.00,11769775.65,377614.00,118716.43,762699.00,263270.60,10778.00,3849.12,32218185.00,12155611.80,11936782.49,,,
2019 JULIO,,,,,,,,,,,,,,
MES,Ingreso Monedero,,Ingreso Estudiantes,,Ingreso Jubilados - Pensionados - 3a Edad,,Ingreso Discapacitados,,Totales de Ingresos,,,,,
,Pasajeros,Monto Real,Pasajeros,Monto Real,Pasajeros,Monto Real,Pasajeros,Monto Real,Pasajeros,Monto Real,Monto con Descuento,,,
JULIO,11720046.00,4653086.10,196797.00,78225.15,365363.00,143479.90,6484.00,2619.95,12288690.00,4877411.10,4683039.97,,,
INGRESO TOTAL,11720046.00,4653086.10,196797.00,78225.15,365363.00,143479.90,6484.00,2619.95,12288690.00,4877411.10,4683039.97,,,
