Dirección General del Sistema Penitenciario;;;;;;Estadística Mensual;;MARZO.19
;;;;;;;;
Centro Penal;Condenados;Procesados;Total;% Condenados;% Procesados;Capacidad;Sobrepoblacion;Indice de Hacinamiento
Algarrobos;111;59;170;65%;35%;100;70;1.7
Chiriqui;1,066;419;1,485;72%;28%;950;535;1.56
Bocas;323;77;400;81%;19%;304;96;1.32
Santiago;368;111;479;77%;23%;472;7;1.01
Las Tablas;179;32;211;85%;15%;75;136;2.81
Punta Coco;0;12;12;0%;100%;12;0;0.5
Chitre;213;68;281;76%;24%;80;201;3.51
Aguadulce;89;43;132;67%;33%;40;92;3.3
Llano Marin;65;15;80;81%;19%;70;10;1.14
Penonome;364;122;486;75%;25%;100;386;4.86
Chorrera;321;377;698;46%;54%;264;434;2.64
El Renacer;255;22;277;92%;8%;309;0;0.9
Tinajita;189;146;335;56%;44%;498;0;0.67
Cefere;399;258;657;61%;39%;433;224;1.52
Nueva Joya;1,467;1,567;3,034;48%;52%;5,504;0;0.55
Joya;1,538;1,467;3,005;51%;49%;1,568;1,437;1.92
Joyita;1,645;2,107;3,752;44%;56%;2,837;915;1.32
Colon;419;851;1,270;33%;67%;1,546;0;0.82
